INFO 10/22/2024 01:08:42 PM | Client ('192.168.0.51', 52928) connected.
INFO 10/22/2024 01:08:46 PM | Client ('192.168.0.51', 52928) disconnected and cleaned up.
INFO 10/22/2024 01:09:24 PM | Client ('192.168.0.51', 52951) connected.
INFO 10/22/2024 01:09:35 PM | Client ('192.168.0.51', 52951) disconnected and cleaned up.
INFO 10/22/2024 01:25:39 PM | Client ('192.168.0.51', 53454) connected.
INFO 10/22/2024 01:25:41 PM | Client ('192.168.0.51', 53454) disconnected and cleaned up.
INFO 10/22/2024 02:03:44 PM | Client ('192.168.0.51', 55210) connected.
INFO 10/22/2024 02:03:47 PM | Client ('192.168.0.51', 55210) disconnected and cleaned up.
INFO 10/22/2024 02:07:13 PM | Client ('192.168.0.51', 55311) connected.
INFO 10/22/2024 02:07:15 PM | Client ('192.168.0.51', 55311) disconnected and cleaned up.
INFO 10/22/2024 02:07:20 PM | Client ('192.168.0.51', 55317) connected.
INFO 10/22/2024 02:07:22 PM | Client ('192.168.0.51', 55317) disconnected and cleaned up.
INFO 10/22/2024 02:07:22 PM | Client ('192.168.0.51', 55320) connected.
INFO 10/22/2024 02:08:33 PM | Server shutdown requested via KeyboardInterrupt
INFO 10/22/2024 02:08:33 PM | Shutting down the server...
INFO 10/22/2024 02:08:34 PM | Server shutdown complete.
INFO 10/22/2024 02:08:40 PM | Server initialized
INFO 10/22/2024 02:08:40 PM | Server started on 192.168.0.51:44200
INFO 10/22/2024 02:08:54 PM | Client ('192.168.0.51', 55375) connected.
INFO 10/22/2024 02:08:59 PM | Client ('192.168.0.51', 55375) disconnected and cleaned up.
INFO 10/22/2024 02:09:02 PM | Server shutdown requested via KeyboardInterrupt
INFO 10/22/2024 02:09:02 PM | Shutting down the server...
INFO 10/22/2024 02:09:02 PM | Server shutdown complete.
INFO 10/22/2024 02:09:03 PM | Server initialized
INFO 10/22/2024 02:09:03 PM | Server started on 192.168.0.51:44200
INFO 10/22/2024 02:09:08 PM | Client ('192.168.0.51', 55385) connected.
INFO 10/22/2024 02:09:46 PM | Client ('192.168.0.51', 55385) disconnected and cleaned up.
INFO 10/22/2024 02:10:09 PM | Client ('192.168.0.51', 55426) connected.
INFO 10/22/2024 02:10:33 PM | Client ('192.168.0.51', 55426) disconnected and cleaned up.
